"_id",Action,Indie,Simulation,Adventure,RPG,Racing,Nudity,Strategy,Free to Play,Sports,Casual,Design & Illustration,Web Publishing,Massively Multiplayer,Violent,Gore,Early Access,Sexual Content,Utilities,Animation & Modeling,Video Production,Education,Software Training,Audio Production,Photo Editing,Documentary,Episodic,Short,Movie,Tutorial,Accounting,360 Video
1007,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,12,5,3,9,11,0,0,8,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,1,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,3,2,2,2,4,0,0,3,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,40,1,0,14,15,1,0,0,0,1,2,0,0,8,20,0,1,0,58,0,58,0,58,58,0,0,0,0,0,0,0,0
1009,0,8,11,0,4,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,42,39,3,23,38,0,14,2,25,0,4,0,0,24,17,9,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,5,14,6,5,3,0,0,4,0,2,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,0,0,0,0,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,59,74,127,56,122,0,53,73,56,0,15,0,0,0,52,52,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,15,15,2,8,12,0,0,10,8,0,9,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,30,65,37,41,29,0,0,41,28,0,23,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,2,1,0,1,0,2,0,0,0,0,0,8,0,2,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0
874,33,22,3,25,3,0,0,1,2,0,8,0,0,6,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,6,1,2,3,0,1,0,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,33,9,0,23,9,0,0,2,0,6,8,13,0,11,10,0,7,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0
745,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,3,6,6,1,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,14,2,4,10,9,0,1,4,0,0,0,0,0,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,471,517,139,344,200,38,6,214,16,32,93,3,0,65,55,20,68,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
741,29,36,15,24,34,0,6,16,7,0,1,0,0,44,22,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,3,4,3,1,0,0,0,4,0,1,2,1,1,0,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
809,2,3,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,15,5,0,7,5,0,5,0,0,0,0,0,0,7,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,8,8,0,8,8,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,37,1,1,13,1,0,1,0,0,0,0,0,0,12,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,13,5,5,13,6,0,5,5,1,0,0,0,0,8,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,3,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,20,9,1,13,5,0,3,1,0,0,2,0,0,6,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,8,9,9,1,2,1,1,9,5,0,2,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,14,8,15,4,7,1,3,6,0,6,2,5,0,2,2,0,8,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0
1024,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,79,45,17,10,11,3,0,11,56,7,38,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,13,8,8,11,2,0,0,2,4,5,7,0,0,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,44,2,34,34,33,2,0,32,0,2,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,109,46,8,82,26,1,4,7,1,6,10,0,0,42,41,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,4,1,0,4,0,0,1,0,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
