"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
677,227,19,0,222,221,2,4,199,0,0,1,2,7,14,6,175,10,180,5,1,1,0,0,0,174,0,0,0,1,0,0,0
472,20,5,0,18,12,0,4,7,0,0,0,0,0,6,6,5,1,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0
621,68,76,27,56,102,0,68,0,0,0,0,27,49,53,26,27,0,0,0,0,0,0,0,3,76,0,0,0,0,0,0,0
1417,14,3,0,16,15,0,0,10,0,0,3,9,6,5,0,1,0,5,3,0,0,0,0,2,11,0,0,0,0,0,0,0
305,35,38,0,33,34,0,1,34,0,0,33,38,33,33,0,33,0,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
257,31,20,0,14,2,0,19,11,0,0,0,3,4,3,1,13,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
1418,12,12,8,14,18,1,2,6,0,0,0,7,3,8,1,14,2,1,1,0,0,1,0,1,7,1,0,0,0,0,0,0
1419,2,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,12,8,2,11,8,1,3,6,1,1,2,3,5,3,2,2,2,3,1,1,1,0,0,2,5,0,0,0,0,0,0,0
1420,134,111,2,44,100,0,134,0,0,0,36,8,127,9,7,2,0,18,1,0,0,0,0,46,139,0,0,0,0,0,0,0
570,35,12,4,33,33,0,2,14,0,0,0,0,8,2,0,12,4,8,8,0,0,0,0,0,2,0,0,0,0,0,0,0
668,2,4,0,3,4,0,2,1,0,0,1,1,2,1,0,1,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0
334,32,35,3,29,20,0,6,10,0,0,28,16,26,17,2,14,1,8,3,10,2,0,0,2,5,0,0,0,0,0,0,0
1421,7,5,1,9,9,1,0,5,0,1,3,3,4,6,5,6,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0
246,9,7,4,12,12,4,1,10,0,1,1,8,4,6,3,6,2,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0
1422,23,4,4,23,17,0,0,23,0,0,0,0,0,0,0,23,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0
68,2,8,0,10,10,0,8,2,0,0,0,0,0,0,0,2,2,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0
1423,30,17,1,27,22,2,2,19,0,0,4,3,8,9,5,19,4,11,8,4,4,3,0,0,1,0,0,0,0,0,0,0
1424,6,0,0,6,6,0,0,6,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,13,11,2,14,14,1,4,8,1,1,1,3,8,2,0,9,3,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0
815,18,25,3,20,5,0,1,4,0,0,1,6,1,3,0,17,1,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0
505,9,1,1,8,8,1,7,1,0,0,1,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425,1,66,29,31,31,0,2,1,0,0,1,61,0,29,0,29,0,35,0,0,0,0,0,0,31,0,0,0,0,0,0,0
1426,2,7,0,3,2,0,0,2,0,0,2,6,2,2,0,3,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0
1427,82,19,1,63,76,3,15,32,0,6,8,7,10,3,2,31,7,13,8,7,3,1,0,0,6,0,0,0,2,0,0,0
270,0,3,3,3,3,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
245,1,8,6,90,90,0,89,1,0,0,96,0,0,6,90,0,0,90,0,0,1,0,0,7,95,0,0,0,0,0,0,0
375,0,5,5,5,5,0,0,0,0,0,5,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,65,15,0,57,46,3,15,42,0,0,5,6,6,4,3,22,15,2,3,3,2,1,0,1,3,0,0,0,0,0,0,0
1428,7,115,0,115,115,0,0,7,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1429,5,0,0,5,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,60,2,0,61,3,0,60,1,0,0,57,0,58,2,2,1,0,0,0,0,0,0,0,58,57,0,0,0,0,0,0,0
