"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
1258,0,1223,0,0,0,0,0,0,0,0,0,1223,0,0,0,0,0,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1259,570,1121,0,251,910,0,910,0,0,0,0,0,890,20,20,231,0,0,0,0,0,0,0,571,319,0,0,0,0,0,0,0
1260,887,4251,92,1056,981,0,174,887,0,0,0,988,2,92,0,882,0,3776,0,77,77,0,0,209,2895,0,0,0,0,0,0,0
1261,275,275,0,275,0,0,0,275,0,0,275,0,0,0,275,0,0,275,0,0,275,0,0,0,0,0,0,0,0,0,0,0
1262,6554,6554,0,0,6554,0,6554,0,0,0,0,0,6554,0,0,0,0,0,0,0,0,0,0,0,6554,0,0,0,0,0,0,0
165,0,178,178,0,0,0,0,0,0,0,178,0,0,178,0,0,0,0,0,0,0,0,0,178,178,0,0,0,0,0,0,0
529,295,295,0,0,0,0,295,0,0,0,0,0,295,0,295,0,0,295,295,0,0,0,0,0,295,0,0,0,0,0,0,0
351,3549,5026,449,4779,5121,12,364,3388,12,12,3903,4481,3045,3656,105,3222,1028,1797,461,2877,127,96,0,262,1716,98,0,0,0,0,0,0
1263,142,54,145,196,196,0,51,142,0,0,0,145,0,145,142,3,0,193,142,0,0,0,0,0,196,142,0,0,0,0,0,0
108,6749,8298,524,6673,6090,1023,1738,4822,0,0,4762,2788,5406,4938,1097,545,1369,3943,827,2,827,827,0,583,583,0,0,0,0,0,0,0
1264,389,384,0,5,389,0,5,5,0,0,384,0,384,384,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1265,88,0,0,88,88,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876,272,272,0,25,297,0,272,0,0,0,0,0,272,25,25,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0
1266,0,962,842,185,185,0,0,328,0,0,329,305,0,514,83,102,0,203,0,0,0,0,0,329,431,0,0,0,0,0,0,0
1267,1358,2782,866,886,70,0,0,864,0,0,68,1828,934,936,864,956,0,1828,2,0,0,0,0,864,2,864,0,0,0,0,0,0
1268,1378,1419,759,1323,1321,63,1220,256,0,0,63,727,782,788,153,668,31,90,90,29,29,29,0,0,696,61,0,0,0,0,0,0
487,3384,3915,164,960,2006,178,142,1812,64,64,473,2352,738,1111,217,245,129,2614,15,165,15,15,0,0,15,15,0,0,0,0,0,0
42,5531,3080,719,5531,2417,337,509,2849,0,0,1958,0,3014,3136,1112,719,337,337,337,0,337,337,0,719,0,719,0,0,0,0,0,0
1269,4205,2456,19,5515,6177,147,3495,2649,19,19,22,710,310,909,22,1663,466,2102,0,273,22,0,0,0,2080,0,0,0,0,0,0,0
216,10387,10047,1517,7658,4008,313,3961,4494,94,200,1616,4404,2953,3896,2874,4897,1687,4406,925,1494,1433,327,0,43,889,7,0,0,0,0,0,0
812,8640,8378,0,262,8577,0,8378,199,0,0,0,0,8378,0,0,262,63,0,0,0,0,0,0,0,8378,0,0,0,0,0,0,0
631,0,168,168,0,0,0,0,0,0,0,168,0,0,168,0,0,0,0,0,0,0,0,0,168,168,0,0,0,0,0,0,0
474,1616,1074,552,1355,1398,428,318,967,128,427,487,727,783,1110,731,997,120,743,351,308,218,157,0,246,487,0,0,0,0,0,0,0
543,1664,2066,93,1521,456,93,996,1073,93,93,169,1756,269,342,342,668,392,1756,143,50,312,24,0,0,0,0,0,0,0,0,0,0
735,675,1097,401,1097,783,0,0,671,0,0,378,758,382,1051,0,783,293,0,25,357,0,0,0,0,447,0,0,0,0,0,0,0
272,0,219,219,0,219,0,219,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,205,186,0,93,93,0,93,93,0,0,0,0,93,0,0,93,0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0
761,10988,1141,0,4377,8781,0,0,6544,0,0,1121,1290,956,6445,3155,137,1254,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
459,1122,1468,537,1590,1363,0,0,895,0,0,773,1172,704,1241,0,1590,0,0,0,704,0,0,0,69,537,0,0,0,0,0,0,0
1271,1226,1395,1224,1411,1374,1039,67,1196,21,0,1231,236,1039,1203,1039,284,0,67,16,120,51,0,0,0,164,0,0,0,0,0,0,0
506,355,350,165,355,195,0,3,197,0,0,30,30,27,30,3,352,170,3,3,27,0,0,0,0,0,0,0,0,0,0,0,0
1272,66,0,0,66,66,0,0,66,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,1804,7595,1797,9356,9320,0,48,1725,0,0,79,1881,130,1845,48,3515,0,79,43,1631,43,43,0,0,1797,0,0,0,0,0,0,0
62,0,230,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,1039,224,0,1024,349,212,30,794,0,0,23,498,16,116,0,781,498,23,0,23,23,0,0,0,112,0,0,0,0,0,0,0
1274,2329,3332,752,2298,2288,619,1978,1776,346,0,799,2445,830,763,297,563,72,2573,546,48,48,0,0,33,479,11,0,0,0,0,0,0
913,11657,1,0,11657,0,0,0,11656,0,0,0,0,0,0,0,11657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,99,15,0,86,5,0,0,2,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,539,1374,0,539,539,0,0,118,0,0,0,953,0,421,0,118,0,953,0,118,0,0,0,0,0,0,0,0,0,0,0,0
1275,4432,8765,3726,7814,8088,111,274,4158,0,41,4117,8432,4432,7814,141,7744,0,748,30,4047,30,30,0,0,3930,0,0,0,0,0,0,0
1276,78,78,0,78,0,0,0,78,0,0,0,0,78,0,0,78,78,78,78,0,0,0,0,78,0,0,0,0,0,0,0,0
1277,525,525,0,0,0,0,0,521,0,0,4,0,0,0,0,0,0,525,0,0,0,0,0,0,525,0,0,0,0,0,0,0
1278,20,0,0,6,6,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1279,2410,1671,0,1701,1797,9,48,1315,0,0,917,21,1629,668,261,736,9,926,668,28,0,9,0,252,510,114,0,0,0,0,0,0
